"track_name","track_artist","track_popularity","track_album_name","track_album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"home","fortuno",43,"home",2019-10-25,0.494,0.216,6,-11.701,1,0.0342,0.816,0.00103,0.102,0.254,121.03,206440
"all over me","cards",43,"all over me",2020-01-10,0.71,0.596,1,-7.454,0,0.0328,0.126,0.126,0.138,0.593,145.91,200331
"odeia","i see colors",43,"zzzz",2019-12-19,0.743,0.63,7,-5.665,1,0.0529,0.0187,0.818,0.14,0.159,139.986,142286
"against us","telehope",37,"against us",2020-01-03,0.652,0.456,11,-12.988,1,0.0354,0.562,9.38e-05,0.12,0.124,132.056,212727
"my darling heart","j.pappas",40,"my darling heart",2019-11-08,0.786,0.288,4,-16.449,1,0.104,0.587,0,0.524,0.392,102.635,196683
"daydreaming","fletcher reed",41,"daydreaming",2020-01-10,0.686,0.66,11,-8.458,1,0.0322,0.405,0.0892,0.108,0.322,96.975,173646
"cold","tempi",38,"cold",2019-12-14,0.633,0.212,3,-12.092,1,0.0327,0.825,0.0264,0.106,0.0454,110.066,277091
"to comprehend","marrakesh",45,"to comprehend",2020-01-10,0.492,0.656,3,-8.495,0,0.0373,0.204,0.0928,0.114,0.487,141.997,181348
"tomorrow","dawson hollow",38,"double single",2020-01-14,0.701,0.83,0,-4.843,1,0.0329,0.107,0.000191,0.652,0.881,122.01,187906
"happy","noa jamir",40,"happy",2019-11-18,0.399,0.482,9,-7.74,0,0.278,0.423,0,0.192,0.068,79.503,219116
"missing piece","honey butter",38,"honey butter",2019-12-02,0.608,0.623,9,-7.84,1,0.146,0.0851,0,0.0888,0.671,91.689,229499
"well known","atlas in motion",40,"well known",2020-01-01,0.585,0.29,7,-14.767,1,0.143,0.556,1.17e-05,0.308,0.305,158.021,224153
"clockwatch","amirsaysnothing",38,"clockwatch",2020-01-03,0.792,0.798,1,-5.146,1,0.0544,0.0486,0.000166,0.0815,0.722,129.979,168920
"closer than this","kaye",40,"closer than this",2019-12-16,0.713,0.275,5,-10.296,0,0.0312,0.0414,8.61e-05,0.193,0.511,94.964,216117
"understand (how bout no) [the dm song]","freak daddy",38,"understand (how bout no) [the dm song]",2019-12-25,0.732,0.947,5,-3.334,0,0.141,0.187,0.000612,0.105,0.572,100.014,254975
"white adidas","dlg.",33,"white adidas",2019-12-25,0.666,0.445,9,-6.66,0,0.0367,0.149,1.51e-06,0.0939,0.293,115.992,192423
"miss me","cadence floria",40,"miss me",2019-12-01,0.63,0.37,1,-16.921,0,0.0642,0.721,0.722,0.203,0.158,130.045,212481
"when it rains","mr. popular",33,"when it rains",2019-12-26,0.326,0.396,4,-8.936,1,0.0324,0.862,8.99e-05,0.109,0.0614,86.943,157500
"adore you","taura",38,"adore you",2019-11-15,0.703,0.687,8,-8.334,1,0.12,0.265,1.15e-06,0.306,0.557,139.786,209490
"thinkin bout you / too good","iolite",32,"thinkin bout you / too good",2020-01-03,0.544,0.679,7,-8.695,1,0.0791,0.229,0.000169,0.508,0.416,118.907,231599
"i can't keep waiting","jackson powell",41,"jackson powell.",2019-12-10,0.731,0.53,1,-7.498,1,0.29,0.0433,0,0.192,0.587,99.011,168046
"path","ben henchman",40,"path",2019-12-18,0.828,0.677,1,-7.266,0,0.0467,0.32,0,0.384,0.867,119.993,148536
"numb thing","hunter powell",36,"numb thing",2019-12-27,0.629,0.603,1,-10.903,1,0.0444,0.0132,0.000115,0.0765,0.396,119.986,252000
"tottenham tugz","poppy",36,"tottenham tugz",2019-12-31,0.855,0.698,7,-6.987,1,0.285,0.177,0,0.442,0.54,138.522,209675
"looking around at the sky.","sand&sea",38,"looking around at the sky.",2020-01-03,0.708,0.667,2,-7.328,1,0.0587,0.512,0,0.137,0.525,160.004,225000
"r u d y","houston kendrick",34,"r u d y",2019-12-27,0.573,0.406,10,-8.788,1,0.0446,0.527,0,0.117,0.213,161.829,183089
"twisted","sophie gray",36,"twisted",2019-12-18,0.811,0.383,1,-9.621,1,0.126,0.603,1.13e-06,0.173,0.424,118.027,202840
"moved on","redlight blue",39,"moved on",2019-12-16,0.491,0.673,4,-10.568,0,0.0287,0.186,0,0.369,0.681,88.139,167045
"fill into me","anju",35,"fill into me",2020-01-01,0.512,0.328,7,-11.939,1,0.0338,0.867,0.0208,0.143,0.0729,78.017,303313
"orange","sophie holohan",39,"orange",2019-12-06,0.791,0.554,2,-9.998,0,0.0399,0.322,1.5e-05,0.0784,0.649,113.98,198947
"nothing but a memory","laikipia",36,"nothing but a memory",2019-12-20,0.801,0.765,2,-5.386,1,0.0359,0.0262,0.0336,0.207,0.338,115.971,219359
"as i'm fading into you","blevins",34,"as i'm fading into you",2019-12-31,0.502,0.501,5,-9.42,1,0.0343,0.342,7.29e-06,0.115,0.685,77.571,188895
"grass is always greener club","dirty chime",35,"grass is always greener club",2019-11-08,0.676,0.745,11,-6.049,0,0.0378,0.0711,0.00375,0.0869,0.613,125.973,200799
"real eyes","fili",38,"real eyes",2019-12-20,0.455,0.51,1,-10.02,1,0.0488,0.523,0.0761,0.0826,0.0368,100.145,254257
"holding space","luke adamson",34,"holding space",2019-11-29,0.87,0.38,4,-10.061,0,0.0511,0.0912,0.00266,0.173,0.73,120.038,201481
"did i do something wrong?","bex",36,"did i do something wrong?",2019-12-13,0.445,0.28,2,-8.487,0,0.0313,0.609,0,0.149,0.0659,123.828,282773
"buttercup","palmertrees",37,"buttercup",2019-12-21,0.782,0.322,8,-12.371,1,0.0443,0.673,0.00014,0.0806,0.359,119.941,196000
"striptease","carwash",48,"striptease",2019-11-05,0.693,0.572,8,-8.89,1,0.0746,0.127,0.953,0.102,0.732,130.048,160659
"that night","indyah",44,"that night",2019-12-13,0.73,0.493,7,-7.656,1,0.0419,0.201,7.11e-05,0.0562,0.374,105.036,167228
"at least i'm moving","tommy strauser",34,"at least i'm moving",2019-10-25,0.622,0.616,0,-8.314,1,0.0385,0.282,0.669,0.215,0.392,92.294,249000
"lil' tune","sunfish",32,"lil' tune",2019-12-06,0.869,0.706,9,-6.795,0,0.0903,0.135,2.12e-05,0.0534,0.564,116.032,182825
"real world","stereo jane",34,"real world",2019-11-15,0.628,0.832,6,-2.914,0,0.0514,0.0178,0,0.135,0.389,139.605,186857
"bad habits","piperline",35,"bad habits",2019-12-16,0.463,0.468,10,-13.548,1,0.0471,0.0361,3.08e-06,0.132,0.216,90.116,194583
"dark. black. heart.","austin p. mckenzie",31,"nightshade",2019-12-13,0.36,0.221,2,-12.601,0,0.0345,0.798,3.73e-06,0.143,0.294,143.688,256895
"do me like a drug","emmanuel franco",35,"do me like a drug",2020-01-08,0.857,0.757,6,-4.739,1,0.0503,0.159,0.00765,0.0977,0.374,106.985,172710
"ambrosia","timian",34,"ambrosia",2019-11-14,0.38,0.333,9,-10.511,0,0.0354,0.709,0.000766,0.365,0.0377,110.298,270545
"wait for you","innerbloom",42,"wait for you",2019-11-26,0.213,0.693,5,-4.868,1,0.0492,0.615,0.000108,0.192,0.134,165.571,240000
"don't give up on me","pink roses",41,"bedroom",2019-11-07,0.466,0.74,10,-9.027,1,0.0593,0.0357,0.00249,0.111,0.0887,177.896,272360
"lie to me","cam m.",33,"lie to me",2019-11-02,0.568,0.365,10,-8.463,0,0.0345,0.804,0,0.127,0.288,120.05,228168
"castles","emily lind",35,"castles",2019-11-21,0.61,0.438,0,-6.166,1,0.0274,0.713,2.35e-05,0.111,0.141,147.94,156827
"i think i kinda, you know - instrumental","alan zachary",33,"high school musical: the musical: the series (original soundtrack)",2020-01-10,0.83,0.349,0,-14.625,1,0.0559,0.108,0.803,0.0961,0.327,128.975,172446
"bedroom window","c7oud",30,"bedroom window",2019-12-21,0.604,0.482,7,-11.862,1,0.0247,0.782,0.883,0.121,0.217,81.968,179250
"warrior","oriel poole",27,"warrior",2019-12-31,0.619,0.65,6,-8.56,0,0.0489,0.102,0.000248,0.143,0.391,94.013,228511
"silver lake queen","diplomacy",39,"silver lake queen",2019-10-18,0.736,0.826,9,-4.886,0,0.0849,0.000337,0.00744,0.0441,0.864,123.953,235484
"enough","rayne",32,"enough",2020-01-03,0.653,0.411,7,-8.913,0,0.12,0.427,0,0.108,0.127,142.527,220632
"swimming in your feelings","haven",45,"swimming in your feelings",2019-11-01,0.741,0.699,9,-6.718,1,0.0746,0.305,0,0.3,0.728,147.127,161890
"primadonna","nina tribus",39,"primadonna",2019-11-22,0.776,0.461,1,-9.774,1,0.115,0.01,5.28e-05,0.408,0.717,109.977,137555
"access","jungle animals",31,"access",2019-10-18,0.599,0.55,5,-7.271,1,0.0324,0.354,5.96e-05,0.149,0.385,91.982,171853
"rain","more ease",37,"rain",2019-11-29,0.814,0.382,4,-8.75,0,0.282,0.556,0.0395,0.1,0.278,79.03,186457
"she got the moon","berry juice",36,"she got the moon",2019-10-18,0.668,0.632,8,-5.879,0,0.0523,0.0728,0.00032,0.39,0.448,115.991,278533
"paper crown","kevin krust",28,"paper crown",2019-12-13,0.581,0.272,10,-8.511,0,0.0418,0.883,0,0.0745,0.545,144.212,202345
"shut it down","georgia dutton",27,"shut it down",2019-12-19,0.784,0.324,4,-9.001,1,0.0356,0.885,0,0.101,0.65,103.027,163607
"know me","moonlight social",33,"know me",2019-11-22,0.813,0.683,9,-3.394,0,0.0393,0.621,1.48e-05,0.0909,0.72,108.013,210000
"talk about it","heather cole",34,"talk about it",2019-12-06,0.837,0.61,0,-6.497,1,0.146,0.304,8.3e-06,0.0785,0.842,147.086,164916
"i read u like a book","simon loof",32,"i read u like a book",2019-10-24,0.774,0.58,4,-8.278,0,0.0282,0.758,4.76e-05,0.126,0.788,125.956,170539
"divine","jay rose",35,"divine",2019-12-19,0.889,0.416,0,-9.546,1,0.0443,0.606,6.97e-06,0.143,0.452,115.989,167507
"closely","august roads",32,"highs and lows",2019-10-24,0.551,0.304,1,-11.5,0,0.0637,0.612,0,0.228,0.115,150.003,203120
"love letters and cigarettes","liv young",21,"love letters and cigarettes",2019-12-20,0.672,0.678,7,-6.759,1,0.145,0.0981,0,0.185,0.309,94.111,164840
"slip knots","waxwane",31,"slip knots",2020-01-05,0.647,0.613,5,-8.241,0,0.0441,0.0106,7.97e-05,0.648,0.27,130.042,166154
"reaching out","isabella hixson",32,"i will go and do: 2020 youth album",2019-11-17,0.459,0.238,9,-8.049,1,0.034,0.89,0,0.0948,0.163,69.456,221986
"sinking","tinley",26,"sinking",2019-12-13,0.542,0.169,0,-13.416,1,0.0586,0.78,0,0.11,0.411,108.764,195092
"when you know","sunny state",34,"when you know",2019-10-25,0.599,0.636,0,-5.944,1,0.0584,0.0762,0,0.295,0.531,164.078,181859
"chai tea","audrey",21,"chai tea",2019-11-23,0.806,0.353,0,-12.134,1,0.0366,0.845,0.000193,0.137,0.0391,98.024,263155
"die young","vÂn scott",40,"die young",2019-11-01,0.679,0.507,3,-6.215,1,0.0302,0.735,0,0.114,0.4,128.006,236719
"close enough","slight diversion",22,"close enough - single",2020-01-10,0.625,0.542,11,-11.242,0,0.0656,0.172,0.373,0.104,0.346,74.467,252200
"everything","darkminds",14,"everything",2019-11-14,0.885,0.862,1,-4.548,1,0.0472,0.026,0.00477,0.0947,0.709,104.971,148571
"forget you","skyverse",18,"forget you",2019-10-18,0.276,0.499,1,-6.017,1,0.0315,0.842,0.311,0.194,0.0438,117.597,200000
"veiled","swati bhatt",28,"veiled",2020-01-10,0.545,0.359,11,-11.6,0,0.0297,0.692,3.47e-06,0.114,0.32,134.87,326667
"caffeine","funi",32,"idm ep",2019-12-06,0.535,0.866,10,-6.434,0,0.0556,0.0156,0.835,0.115,0.0359,120.016,236000
"atlantis","rufus",37,"atlantis",2019-11-20,0.3,0.36,1,-9.111,1,0.0319,0.455,0.000145,0.194,0.145,180.403,160500
"break the sky","dust of apollon",29,"break the sky",2020-01-13,0.319,0.536,0,-5.857,1,0.0478,0.376,0.269,0.408,0.223,75.984,190120
"i'm sorry that i love you","peachro",20,"i'm sorry that i love you",2019-12-11,0.712,0.16,0,-16.395,0,0.159,0.93,2.05e-05,0.0742,0.413,131.557,133704
"far away from here","yaeow",21,"far away from here",2020-01-01,0.663,0.237,10,-15.844,0,0.0506,0.892,0.304,0.0788,0.236,74.97,132800
"best shoes","casey conroy",29,"best shoes",2020-01-10,0.745,0.299,6,-7.64,1,0.0354,0.674,2.23e-06,0.291,0.306,94.95,218972
"whispers","ella renn",32,"whispers",2019-10-18,0.762,0.53,9,-7.163,0,0.0501,0.348,2.4e-05,0.0985,0.323,129.989,162605
"tough (feat. noah kahan)","quinn xcii",67,"from michigan with love",2019-02-15,0.729,0.57,10,-7.047,1,0.0554,0.388,0,0.111,0.687,93.125,178133
"lost","blake rose",69,"lost",2019-02-08,0.595,0.687,4,-6.536,1,0.0486,0.216,0,0.107,0.508,94.73,234623
"less than i do","the band camino",66,"less than i do",2018-12-14,0.529,0.579,9,-6.94,1,0.0518,0.0198,3.18e-06,0.103,0.46,76.991,211694
"if you're gonna lie","fletcher",66,"you ruined new york city for me",2019-08-16,0.671,0.763,8,-5.877,1,0.305,0.607,2.16e-05,0.495,0.469,149.87,203113
"6's to 9's (feat. rationale)","big wild",64,"superdream",2019-02-01,0.714,0.663,8,-5.799,1,0.0694,0.145,0,0.264,0.64,95.497,206073
"nostalgic","a r i z o n a",69,"asylum",2019-10-11,0.691,0.538,0,-9.952,1,0.103,0.246,0.163,0.178,0.329,99.972,182668
"novocaine","the unlikely candidates",65,"novocaine",2019-03-22,0.652,0.833,10,-4.898,1,0.0392,0.00191,0.000536,0.122,0.231,116.043,245240
"just a little longer","shy martin",66,"overthinking",2018-12-07,0.85,0.551,0,-7.197,1,0.0572,0.0559,0,0.161,0.634,104.967,206204
"hold on (with georgia ku)","illenium",64,"ascend",2019-08-16,0.506,0.744,9,-3.605,1,0.042,0.0463,6.62e-06,0.52,0.396,76.056,235263
"halfway there","rozes",63,"halfway there",2019-01-04,0.591,0.743,0,-4.245,0,0.0456,0.0435,0.000731,0.362,0.251,160.019,207920
"crash my car","coin",65,"crash my car",2019-06-13,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307
"85%","loote",65,"lost",2019-06-14,0.574,0.651,7,-7.585,1,0.046,0.346,0,0.149,0.368,140.017,174107
"a big world","joel adams",65,"a big world",2019-03-01,0.394,0.505,7,-7.638,1,0.0473,0.312,0,0.268,0.255,109.446,186681
"temporary","ella vos",59,"temporary",2019-01-18,0.715,0.363,8,-8.265,1,0.0433,0.0348,0,0.0637,0.347,87.017,151665
"warm animal","sure sure",61,"what's it like?",2019-06-27,0.786,0.384,5,-8.655,1,0.0651,0.072,0.00115,0.0484,0.77,137.935,211147
"lose my mind (feat. mr gabriel)","jai wolf",63,"the cure to loneliness",2019-04-05,0.606,0.775,0,-6.038,0,0.04,0.0086,0.498,0.305,0.508,140.013,258547
"they told me","palm trees",52,"they told me",2018-12-21,0.694,0.556,5,-6.763,1,0.14,0.501,0,0.103,0.547,99.972,181823
"off limits","baynk",54,"someone's ep ii",2019-05-22,0.663,0.563,6,-8.072,1,0.309,0.483,0,0.0825,0.551,80.013,159750
"half gone","stephen puth",65,"half gone",2019-03-01,0.63,0.561,0,-4.906,1,0.0369,0.0977,0.00023,0.058,0.492,90.932,192571
"wow, i'm not crazy","ajr",56,"neotheater",2019-04-26,0.284,0.609,3,-6.033,1,0.123,0.0438,0,0.177,0.521,85.386,196763
"i see you","missio",61,"the darker the weather // the better the man",2019-04-12,0.466,0.781,1,-6.76,1,0.0567,0.000483,0.000141,0.0713,0.383,169.97,228613
"atoms - said the sky remix","rl grime",59,"nova (the remixes, vol. 1)",2018-12-07,0.519,0.742,3,-3.554,1,0.061,0.315,8.42e-05,0.0836,0.246,127.971,255117
"bitch (takes one to know one)","lennon stella",63,"bitch (takes one to know one)",2019-03-15,0.746,0.55,2,-9.68,1,0.0598,0.0311,0,0.126,0.522,97.018,183840
"summer love - recorded at spotify studios nyc","chelsea cutler",65,"spotify singles",2019-03-13,0.667,0.302,4,-11.633,0,0.0377,0.198,1.18e-05,0.101,0.239,81.966,214381
"til i don't","mokita",60,"til i don't",2019-04-12,0.766,0.394,0,-7.451,1,0.0637,0.0582,0.00523,0.279,0.816,160.079,126700
"at least i look cool","sasha sloan",66,"at least i look cool",2019-07-19,0.828,0.349,6,-9.96,0,0.17,0.647,1.57e-05,0.105,0.282,130.074,171695
"spin with you (feat. jeremy zucker)","emma sameth",55,"spin with you (feat. jeremy zucker)",2018-12-19,0.818,0.445,5,-7.467,0,0.23,0.718,3.88e-05,0.108,0.423,95.944,212154
"fu4e","lost kings",57,"paper crowns (deluxe)",2019-01-18,0.794,0.644,5,-5.522,1,0.0355,0.134,5.18e-05,0.182,0.788,146.032,207280
"if i ain't got you","dan talevski",57,"if i ain't got you",2019-03-22,0.626,0.475,8,-8.086,1,0.0666,0.124,0,0.092,0.424,84.035,177851
"cold","boy in space",68,"cold",2019-08-08,0.711,0.412,9,-6.827,1,0.0445,0.184,0,0.0546,0.186,130.015,203538
"floating (feat. khalid) [filous remix]","alina baraz",64,"floating (feat. khalid) [filous remix]",2019-02-08,0.757,0.614,4,-6.828,1,0.126,0.472,0,0.161,0.616,90.523,200865
"something better","minke",46,"the tearoom",2019-03-08,0.53,0.411,2,-6.422,1,0.0328,0.589,0,0.106,0.193,103.409,213962
"numb","carlie hanson",55,"numb",2018-12-14,0.832,0.738,0,-4.417,1,0.0783,0.258,1.49e-05,0.22,0.49,127.874,133876
"spoonful","grizfolk",53,"rarest of birds",2019-07-19,0.588,0.666,2,-6.467,0,0.039,0.0905,0,0.0667,0.439,126.753,188773
"keep you close","frenship",48,"vacation",2019-05-17,0.631,0.6,2,-7.912,1,0.0589,0.167,6.3e-05,0.101,0.525,76.015,197814
"maybe you're the reason","the japanese house",57,"good at falling",2019-03-01,0.621,0.762,5,-6.376,1,0.0328,0.106,2.71e-06,0.302,0.395,95.014,218936
"all your days","shallou",61,"all your days",2019-02-28,0.537,0.347,4,-10.245,1,0.0303,0.444,0.00343,0.111,0.0968,110.011,275013
"just friends","olivia o'brien",61,"was it even real?",2019-04-26,0.447,0.247,3,-10.479,0,0.0327,0.791,3.85e-05,0.298,0.291,77.791,133640
"when i'm with u","tritonal",54,"u & me",2019-06-14,0.594,0.804,7,-3.311,1,0.0378,0.221,0,0.12,0.326,115.941,256552
"beggar's song","matt maeson",56,"bank on the funeral",2019-04-05,0.446,0.456,6,-7.338,1,0.054,0.595,0,0.0752,0.27,145.056,235053
"falling for boys","julia michaels",67,"inner monologue part 2",2019-06-28,0.646,0.485,0,-6.647,1,0.0829,0.501,0,0.121,0.408,148.13,183720
"one magic moment","bad suns",48,"mystic truth",2019-03-22,0.31,0.741,6,-5.137,1,0.0366,0.000406,9.75e-05,0.107,0.289,120.065,217333
"cynic","noah kahan",64,"busyhead",2019-06-14,0.784,0.692,5,-5.634,1,0.0338,0.23,1.14e-06,0.325,0.962,103.007,208493
"do me","kim petras",59,"clarity",2019-06-28,0.595,0.575,9,-7.214,1,0.0342,0.000651,0.00108,0.11,0.354,134.018,212325
"123456","fitz and the tantrums",58,"all the feels",2019-09-20,0.715,0.96,10,-5.091,1,0.0526,0.156,0.00331,0.0583,0.809,169.977,184642
"better by myself","hey violet",59,"better by myself",2019-04-12,0.695,0.715,6,-6.675,0,0.0528,0.0568,0.000221,0.0992,0.891,96.997,194409
"feel something","bea miller",67,"feel something",2019-06-21,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,180161
"timebomb","walk the moon",61,"timebomb",2019-01-11,0.583,0.778,5,-4.766,1,0.0403,0.000276,0,0.621,0.446,122.053,218589
"free (with drew love)","louis the child",70,"free (with drew love)",2019-11-06,0.653,0.565,1,-6.636,1,0.0354,0.00561,3.02e-05,0.145,0.165,124.987,222253
"die happy","dreamers",61,"launch fly land",2019-04-26,0.573,0.873,0,-3.838,1,0.0297,0.000431,0,0.403,0.842,102.012,186903
"young","parachute",54,"parachute",2019-05-10,0.683,0.682,4,-5.911,0,0.0323,0.0361,1.47e-05,0.159,0.506,93.994,223627
"slow motion","flor",52,"ley lines",2019-09-06,0.702,0.658,1,-5.522,1,0.0262,0.00844,8.11e-06,0.232,0.773,103.025,183760
"moral of the story","ashe",53,"moral of the story",2019-02-14,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,201084
"gucci rock n rolla (feat. rivers cuomo & kyle)","snakehips",56,"gucci rock n rolla (feat. rivers cuomo & kyle)",2019-02-01,0.797,0.93,11,-3.37,0,0.0455,0.0636,0.000123,0.951,0.907,123.985,159587
"karma","robinson",52,"karma",2019-01-25,0.756,0.675,7,-6.479,1,0.0755,0.00767,0.000909,0.0535,0.34,98.092,188824
"hold you down","x ambassadors",62,"orion",2019-06-14,0.577,0.627,1,-5.553,0,0.0533,0.0491,1.24e-06,0.0766,0.446,78.96,197933
"crop circles","jon bellion",59,"crop circles",2019-05-31,0.793,0.755,4,-4.561,0,0.0737,0.077,0.000271,0.0868,0.664,99.912,147684
"like i remember you","vera blue",58,"like i remember you",2019-02-08,0.415,0.334,7,-9.412,1,0.045,0.65,0.00088,0.131,0.359,199.895,187742
"love me back","ritual",57,"love me back",2019-01-23,0.745,0.664,1,-4.28,1,0.0613,0.498,8.15e-06,0.0777,0.468,108.067,178233
"i wish","hayley kiyoko",60,"i'm too sensitive for this shit",2019-10-11,0.623,0.751,8,-3.176,1,0.235,0.324,3.31e-06,0.158,0.59,91,205029
"fools","ufo ufo",54,"fools",2018-12-14,0.702,0.603,7,-6.833,0,0.0598,0.168,0,0.213,0.717,106.023,220085
"quarter-life crisis","judah & the lion",53,"pep talks",2019-08-07,0.46,0.945,10,-4.483,1,0.176,0.00509,7.79e-05,0.145,0.397,76.445,217981
"feel you now","the driver era",55,"x",2019-06-28,0.535,0.724,7,-5.192,1,0.191,0.102,0.000121,0.207,0.501,180.077,258477
"angry too","lola blanc",62,"angry too",2019-04-30,0.551,0.742,8,-5.216,1,0.0724,0.0624,0.000221,0.0673,0.614,160.081,204089
"bad vibes","k.flay",55,"solutions",2019-07-12,0.716,0.727,10,-6.734,1,0.296,0.0264,0,0.0717,0.597,97.977,185907
"come around","hoodie allen",61,"whatever usa",2019-08-16,0.726,0.727,9,-4.919,1,0.0969,0.363,0,0.231,0.815,77.543,166696
"good day","surfaces",69,"good day",2019-10-04,0.936,0.353,11,-12.17,1,0.0458,0.691,2.73e-05,0.133,0.863,124.964,181000
"i can't carry this anymore","anson seabra",68,"i can't carry this anymore",2019-01-11,0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.354,0.456,166.598,200000
"with me all along","bronze radio return",49,"entertain you",2019-02-22,0.597,0.721,5,-6.559,1,0.0346,0.25,0.105,0.426,0.419,79.064,226711
"counting the days","will taylor james",60,"counting the days",2019-02-22,0.465,0.522,7,-9.953,1,0.0636,0.599,1.46e-05,0.0756,0.0907,139.967,274429
"darkside","grandson",60,"a modern tragedy vol. 2",2019-02-22,0.497,0.701,7,-6.834,1,0.119,0.000568,0.000287,0.352,0.18,76.918,229531
"head first","christian french",68,"head first",2019-05-17,0.909,0.392,6,-6.221,0,0.0652,0.278,1.77e-06,0.106,0.61,127.052,154961
"stargazing","sapientdream",57,"dream",2018-12-14,0.781,0.366,2,-10.324,1,0.0401,0.679,0.582,0.11,0.793,140.021,142286
"alive","dabin",50,"wild youth",2019-03-22,0.377,0.566,11,-6.173,1,0.044,0.134,0,0.135,0.222,154.875,365419
"pushing 21","liv dawson",57,"pushing 21",2019-03-22,0.782,0.438,4,-9.443,1,0.0312,0.45,3.69e-06,0.168,0.561,100.037,207800
"want you back","grey",54,"want you back",2019-01-10,0.758,0.519,0,-5.832,0,0.0362,0.116,0,0.183,0.417,92.99,176827
"peace","alison wonderland",57,"peace",2019-04-04,0.362,0.684,2,-5.174,0,0.0854,0.279,1.08e-05,0.165,0.389,85.201,177601
"flames (feat. ruel)","sg lewis",61,"flames (feat. ruel) [lastlings remix]",2019-08-09,0.555,0.62,9,-5.822,0,0.118,0.0891,0.00306,0.107,0.371,193.924,216765
"take it off","two friends",51,"take it off",2019-01-25,0.729,0.625,3,-6.878,1,0.115,0.0535,0,0.395,0.667,99.991,194441
"tim mcgraw - recorded at spotify studios nyc","maggie rogers",63,"spotify singles",2018-12-12,0.712,0.46,0,-9.6,1,0.201,0.66,6.42e-06,0.101,0.123,79.98,250837
"the way i am","gavin haley",54,"long game",2019-10-18,0.533,0.5,7,-8.273,1,0.0481,0.772,0,0.112,0.14,99.77,178143
"dreamin (with blackbear)","the score",65,"pressure",2019-02-01,0.609,0.726,1,-3.947,0,0.108,0.00252,0,0.0745,0.616,79.967,198640
"minimal","role model",61,"minimal",2019-05-03,0.575,0.679,1,-4.442,1,0.0432,0.547,0,0.34,0.204,169.886,163340
"grip - alternative version","seeb",60,"grip (alternative version)",2019-03-01,0.53,0.444,0,-9.779,0,0.0338,0.669,0,0.142,0.165,122.917,233105
"lead me back","san holo",57,"lead me back",2019-02-22,0.498,0.798,3,-4.637,1,0.0902,0.0992,3.47e-06,0.119,0.369,138.058,284493
"friends go","maggie lindemann",57,"friends go",2019-03-22,0.441,0.66,5,-3.335,1,0.0508,0.0265,0,0.351,0.765,177.718,143361
"my feelings","dirty radio",34,"pleasures",2019-04-12,0.72,0.802,4,-5.799,0,0.0672,0.0319,0,0.0625,0.661,119.884,180262
"emotion","hazey eyes",48,"emotion (remixes)",2019-08-02,0.736,0.446,11,-9.437,1,0.0571,0.886,0.0137,0.075,0.231,106.046,204526
"wake me up","foreign air",49,"wake me up",2019-02-01,0.229,0.915,10,-4.939,0,0.0762,0.0103,0.471,0.104,0.305,177.989,222760
"talk slow","cody lovaas",57,"talk slow",2019-03-22,0.74,0.543,7,-7.201,1,0.108,0.09,0,0.135,0.46,157.987,164544
"stuck","jome",58,"stuck",2019-04-12,0.437,0.523,0,-7.664,0,0.0655,0.593,4.15e-06,0.171,0.363,169.872,153176
"heart","otr",59,"heart",2019-04-26,0.442,0.431,0,-9.007,0,0.0382,0.0102,0.000202,0.118,0.0707,109.128,195361
"terrified","terror jr",54,"unfortunately, terror jr",2019-01-25,0.897,0.449,7,-9.353,1,0.0921,0.353,4.31e-06,0.122,0.631,115.959,178298
"oh, mexico","jeremy zucker",67,"oh, mexico",2019-07-26,0.613,0.36,8,-12.49,1,0.062,0.892,0.293,0.381,0.445,77.983,184453
"thank me later","anna of the north",54,"dream girl",2019-10-25,0.755,0.496,2,-7.412,1,0.0787,0.197,0.000194,0.338,0.718,76.528,204240
"your car","alexx mack",17,"your car",2017-11-10,0.559,0.642,9,-9.127,1,0.103,0.0251,2.91e-06,0.266,0.203,100.083,226000
"oceans","coasts",42,"coasts",2015-09-04,0.52,0.845,9,-4.567,1,0.0467,0.00163,0,0.311,0.537,127.709,222768
"hallucinogenics","matt maeson",66,"bank on the funeral",2019-04-05,0.549,0.653,0,-7.47,1,0.0503,0.457,0,0.0969,0.287,121.348,187173
"blame","skylar stecker",21,"blame",2017-10-27,0.752,0.739,3,-3.761,0,0.0607,0.185,0,0.0982,0.652,104.937,172457
"in love with a broken heart","hedley",32,"cageless",2017-09-29,0.581,0.749,1,-3.632,0,0.0493,0.0977,3.48e-05,0.111,0.675,100.092,217067
"wishing wells","the colourist",39,"the colourist",2014-01-01,0.538,0.925,0,-4.62,1,0.0631,0.00249,4.52e-05,0.11,0.397,135.025,257880
"catch","dresses",29,"catch",2015-08-21,0.818,0.574,10,-7.192,1,0.0476,0.29,0,0.0875,0.869,120.027,231121
"storm","paperwhite",40,"escape",2016-05-10,0.638,0.793,10,-6.676,1,0.0393,0.0109,0.0253,0.161,0.523,113.944,195973
